#ip,ioc
47.243.236.236,Possible Cobaltstrike C2 IP
47.244.167.171,Possible Cobaltstrike C2 IP
47.52.58.121,Possible Cobaltstrike C2 IP
47.75.108.68,Possible Cobaltstrike C2 IP
47.90.247.182,Possible Cobaltstrike C2 IP
47.92.67.152,Possible Cobaltstrike C2 IP
47.93.63.179,Possible Cobaltstrike C2 IP
47.93.96.180,Possible Cobaltstrike C2 IP
47.94.221.227,Possible Cobaltstrike C2 IP
47.94.43.210,Possible Cobaltstrike C2 IP
47.96.170.102,Possible Cobaltstrike C2 IP
47.96.174.24,Possible Cobaltstrike C2 IP
47.96.94.237,Possible Cobaltstrike C2 IP
47.97.6.61,Possible Cobaltstrike C2 IP
47.98.250.97,Possible Cobaltstrike C2 IP
47.98.36.254,Possible Cobaltstrike C2 IP
47.99.57.95,Possible Cobaltstrike C2 IP
49.232.214.202,Possible Cobaltstrike C2 IP
49.232.24.38,Possible Cobaltstrike C2 IP
49.232.246.74,Possible Cobaltstrike C2 IP
49.234.22.80,Possible Cobaltstrike C2 IP
5.101.0.241,Possible Cobaltstrike C2 IP
5.188.87.54,Possible Cobaltstrike C2 IP
5.255.114.119,Possible Cobaltstrike C2 IP
50.115.165.124,Possible Metasploit C2 IP
51.250.16.184,Possible Cobaltstrike C2 IP
51.68.169.103,Possible Cobaltstrike C2 IP
51.79.230.42,Possible Cobaltstrike C2 IP
52.192.163.129,Possible Cobaltstrike C2 IP
52.195.16.11,Possible Cobaltstrike C2 IP
52.229.108.220,Possible Cobaltstrike C2 IP
52.253.108.7,Possible Cobaltstrike C2 IP
52.70.93.129,Possible Cobaltstrike C2 IP
54.145.9.123,Possible Cobaltstrike C2 IP
54.149.61.80,Possible Cobaltstrike C2 IP
54.166.231.254,Possible Cobaltstrike C2 IP
54.205.115.4,Possible Cobaltstrike C2 IP
54.226.3.99,Possible Cobaltstrike C2 IP
57.128.141.12,Possible Cobaltstrike C2 IP
59.110.172.50,Possible Cobaltstrike C2 IP
59.110.239.104,Possible Cobaltstrike C2 IP
59.110.6.123,Possible Cobaltstrike C2 IP
60.204.139.246,Possible Cobaltstrike C2 IP
60.204.151.215,Possible Cobaltstrike C2 IP
60.204.157.150,Possible Cobaltstrike C2 IP
60.204.187.184,Possible Cobaltstrike C2 IP
60.204.227.242,Possible Cobaltstrike C2 IP
60.204.229.189,Possible Cobaltstrike C2 IP
61.241.151.66,Possible Cobaltstrike C2 IP
62.234.182.35,Possible Cobaltstrike C2 IP
62.234.48.219,Possible Cobaltstrike C2 IP
64.176.40.46,Possible Cobaltstrike C2 IP
64.227.139.185,Possible Cobaltstrike C2 IP
64.227.152.252,Possible Metasploit C2 IP
64.227.18.171,Possible Cobaltstrike C2 IP
66.113.100.100,Possible Cobaltstrike C2 IP
66.119.15.241,Possible Cobaltstrike C2 IP
68.170.2.60,Possible Cobaltstrike C2 IP
68.183.68.212,Possible Cobaltstrike C2 IP
68.183.77.192,Possible Cobaltstrike C2 IP
72.10.160.162,Possible Metasploit C2 IP
74.119.192.110,Possible Cobaltstrike C2 IP
74.48.56.215,Possible Cobaltstrike C2 IP
77.242.250.36,Possible Cobaltstrike C2 IP
8.130.128.168,Possible Cobaltstrike C2 IP
8.130.133.123,Possible Cobaltstrike C2 IP
8.130.138.242,Possible Metasploit C2 IP
8.130.18.12,Possible Cobaltstrike C2 IP
8.130.24.142,Possible Cobaltstrike C2 IP
8.130.35.148,Possible Cobaltstrike C2 IP
8.130.72.206,Possible Cobaltstrike C2 IP
8.130.79.38,Possible Cobaltstrike C2 IP
8.131.118.10,Possible Cobaltstrike C2 IP
8.134.36.228,Possible Cobaltstrike C2 IP
8.140.122.248,Possible Cobaltstrike C2 IP
8.142.115.47,Possible Cobaltstrike C2 IP
8.142.117.162,Possible Cobaltstrike C2 IP
8.142.117.220,Possible Cobaltstrike C2 IP
8.142.5.148,Possible Cobaltstrike C2 IP
8.210.2.157,Possible Cobaltstrike C2 IP
8.210.236.92,Possible Cobaltstrike C2 IP
8.212.49.116,Possible Cobaltstrike C2 IP
8.213.159.137,Possible Cobaltstrike C2 IP
8.217.147.50,Possible Cobaltstrike C2 IP
8.218.129.91,Possible Cobaltstrike C2 IP
8.219.229.99,Possible Cobaltstrike C2 IP
8.222.155.61,Possible Cobaltstrike C2 IP
8.222.162.81,Possible Cobaltstrike C2 IP
80.77.23.210,Possible Cobaltstrike C2 IP
81.17.18.26,Possible Metasploit C2 IP
81.17.20.66,Possible Metasploit C2 IP
81.68.232.146,Possible Cobaltstrike C2 IP
81.69.96.149,Possible Cobaltstrike C2 IP
81.70.11.25,Possible Cobaltstrike C2 IP
81.70.190.25,Possible Cobaltstrike C2 IP
81.70.253.205,Possible Cobaltstrike C2 IP
81.70.29.244,Possible Cobaltstrike C2 IP
81.71.140.170,Possible Cobaltstrike C2 IP
82.156.125.53,Possible Cobaltstrike C2 IP
82.156.177.149,Possible Cobaltstrike C2 IP
82.156.28.224,Possible Cobaltstrike C2 IP
82.156.4.204,Possible Cobaltstrike C2 IP
82.156.67.15,Possible Cobaltstrike C2 IP
82.157.143.63,Possible Cobaltstrike C2 IP
82.157.149.194,Possible Cobaltstrike C2 IP
82.157.154.247,Possible Cobaltstrike C2 IP
82.157.173.159,Possible Cobaltstrike C2 IP
82.157.65.5,Possible Cobaltstrike C2 IP
82.157.69.161,Possible Cobaltstrike C2 IP
83.212.86.169,Possible Metasploit C2 IP
84.32.131.0,Possible Cobaltstrike C2 IP
84.32.44.180,Possible Cobaltstrike C2 IP
85.10.151.245,Possible Cobaltstrike C2 IP
85.10.151.25,Possible Cobaltstrike C2 IP
85.175.101.203,Possible Cobaltstrike C2 IP
85.208.109.15,Possible Cobaltstrike C2 IP
85.209.11.131,Possible Cobaltstrike C2 IP
88.119.169.58,Possible Cobaltstrike C2 IP
88.214.26.54,Possible Cobaltstrike C2 IP
88.214.27.53,Possible Cobaltstrike C2 IP
89.116.44.121,Possible Cobaltstrike C2 IP
89.147.109.213,Possible Cobaltstrike C2 IP
91.219.215.6,Possible Metasploit C2 IP
91.238.181.238,Possible Cobaltstrike C2 IP
91.92.246.43,Possible Cobaltstrike C2 IP
91.92.251.4,Possible Cobaltstrike C2 IP
93.95.225.253,Possible Metasploit C2 IP
94.131.9.155,Possible Metasploit C2 IP
94.242.61.116,Possible Metasploit C2 IP
95.164.35.233,Possible Cobaltstrike C2 IP
95.164.87.22,Possible Cobaltstrike C2 IP
95.169.27.92,Possible Cobaltstrike C2 IP
95.181.173.37,Possible Metasploit C2 IP
