#ip,ioc
115.159.221.202,Possible Cobaltstrike C2 IP
115.159.50.50,Possible Cobaltstrike C2 IP
116.196.106.249,Possible Cobaltstrike C2 IP
116.198.18.151,Possible Cobaltstrike C2 IP
116.204.122.201,Possible Cobaltstrike C2 IP
116.204.91.166,Possible Cobaltstrike C2 IP
116.204.98.225,Possible Cobaltstrike C2 IP
116.205.241.185,Possible Cobaltstrike C2 IP
116.211.120.25,Possible Cobaltstrike C2 IP
116.62.188.205,Possible Cobaltstrike C2 IP
116.62.24.245,Possible Cobaltstrike C2 IP
117.50.162.183,Possible Cobaltstrike C2 IP
117.50.163.113,Possible Cobaltstrike C2 IP
117.50.174.131,Possible Cobaltstrike C2 IP
117.50.184.100,Possible Cobaltstrike C2 IP
117.72.35.30,Possible Cobaltstrike C2 IP
118.126.95.13,Possible Cobaltstrike C2 IP
118.24.128.204,Possible Cobaltstrike C2 IP
118.31.8.234,Possible Cobaltstrike C2 IP
118.89.201.210,Possible Cobaltstrike C2 IP
118.89.71.205,Possible Cobaltstrike C2 IP
119.29.145.4,Possible Cobaltstrike C2 IP
119.29.225.65,Possible Cobaltstrike C2 IP
119.3.90.227,Possible Cobaltstrike C2 IP
119.91.109.228,Possible Cobaltstrike C2 IP
119.91.20.97,Possible Cobaltstrike C2 IP
119.91.210.105,Possible Cobaltstrike C2 IP
120.240.66.16,Possible Cobaltstrike C2 IP
120.27.94.139,Possible Cobaltstrike C2 IP
120.46.164.123,Possible Cobaltstrike C2 IP
120.53.104.31,Possible Cobaltstrike C2 IP
120.78.131.143,Possible Cobaltstrike C2 IP
120.78.201.246,Possible Cobaltstrike C2 IP
120.78.206.231,Possible Cobaltstrike C2 IP
120.79.225.52,Possible Cobaltstrike C2 IP
120.79.64.164,Possible Cobaltstrike C2 IP
121.196.235.124,Possible Cobaltstrike C2 IP
121.36.201.189,Possible Cobaltstrike C2 IP
121.37.208.189,Possible Cobaltstrike C2 IP
121.37.210.39,Possible Cobaltstrike C2 IP
121.37.215.238,Possible Cobaltstrike C2 IP
121.4.155.50,Possible Cobaltstrike C2 IP
121.4.50.245,Possible Cobaltstrike C2 IP
121.4.64.103,Possible Cobaltstrike C2 IP
121.4.97.5,Possible Cobaltstrike C2 IP
121.40.127.134,Possible Cobaltstrike C2 IP
121.40.151.228,Possible Cobaltstrike C2 IP
121.40.254.24,Possible Cobaltstrike C2 IP
121.40.66.171,Possible Cobaltstrike C2 IP
121.40.69.150,Possible Cobaltstrike C2 IP
121.41.107.20,Possible Cobaltstrike C2 IP
121.41.15.41,Possible Cobaltstrike C2 IP
121.41.216.139,Possible Cobaltstrike C2 IP
121.41.74.136,Possible Cobaltstrike C2 IP
121.43.188.26,Possible Cobaltstrike C2 IP
121.5.110.242,Possible Cobaltstrike C2 IP
121.5.128.191,Possible Cobaltstrike C2 IP
121.5.235.93,Possible Cobaltstrike C2 IP
122.152.244.183,Possible Cobaltstrike C2 IP
123.123.123.123,Possible Cobaltstrike C2 IP
123.207.45.112,Possible Cobaltstrike C2 IP
123.207.50.191,Possible Cobaltstrike C2 IP
123.207.51.53,Possible Cobaltstrike C2 IP
123.56.194.52,Possible Cobaltstrike C2 IP
123.60.140.76,Possible Cobaltstrike C2 IP
123.60.151.249,Possible Cobaltstrike C2 IP
123.60.74.61,Possible Cobaltstrike C2 IP
123.60.90.39,Possible Cobaltstrike C2 IP
124.220.148.109,Possible Cobaltstrike C2 IP
124.220.182.36,Possible Cobaltstrike C2 IP
124.220.19.234,Possible Cobaltstrike C2 IP
124.220.28.253,Possible Cobaltstrike C2 IP
124.220.49.74,Possible Cobaltstrike C2 IP
124.220.91.113,Possible Cobaltstrike C2 IP
124.221.123.55,Possible Cobaltstrike C2 IP
124.221.17.198,Possible Cobaltstrike C2 IP
124.221.178.17,Possible Cobaltstrike C2 IP
124.221.183.95,Possible Cobaltstrike C2 IP
124.221.209.99,Possible Cobaltstrike C2 IP
124.221.237.165,Possible Cobaltstrike C2 IP
124.221.66.75,Possible Cobaltstrike C2 IP
124.222.149.52,Possible Cobaltstrike C2 IP
124.222.19.112,Possible Cobaltstrike C2 IP
124.222.220.126,Possible Cobaltstrike C2 IP
124.222.234.106,Possible Cobaltstrike C2 IP
124.222.24.208,Possible Cobaltstrike C2 IP
124.222.57.223,Possible Cobaltstrike C2 IP
124.222.64.203,Possible Cobaltstrike C2 IP
124.222.82.248,Possible Cobaltstrike C2 IP
124.223.158.49,Possible Cobaltstrike C2 IP
124.223.177.244,Possible Cobaltstrike C2 IP
124.223.189.175,Possible Cobaltstrike C2 IP
124.223.200.131,Possible Cobaltstrike C2 IP
124.223.52.82,Possible Cobaltstrike C2 IP
124.223.54.248,Possible Cobaltstrike C2 IP
124.223.62.233,Possible Cobaltstrike C2 IP
124.223.83.171,Possible Cobaltstrike C2 IP
124.227.184.117,Possible Cobaltstrike C2 IP
124.70.154.188,Possible Cobaltstrike C2 IP
124.70.179.54,Possible Cobaltstrike C2 IP
124.70.187.37,Possible Cobaltstrike C2 IP
124.71.158.221,Possible Cobaltstrike C2 IP
124.71.202.107,Possible Cobaltstrike C2 IP
124.71.230.106,Possible Cobaltstrike C2 IP
124.71.5.199,Possible Cobaltstrike C2 IP
128.199.153.222,Possible Cobaltstrike C2 IP
128.199.19.163,Possible Cobaltstrike C2 IP
128.199.70.91,Possible Cobaltstrike C2 IP
129.211.210.61,Possible Cobaltstrike C2 IP
